id;date_start;date_end;taux_a1;taux_a2;taux_a3;taux_b1;taux_b2;taux_b3;taux_c1;taux_c2;taux_c3
1;2024-01-01;2024-12-31;75.06;38.3;56.3;112.59;57.45;84.45;150.12;76.6;112.59
4;2023-01-01;2023-12-31;73.16;37.32;54.87;109.74;55.98;82.3;146.32;74.64;109.74
5;2022-01-01;2022-06-30;69;35.2;51.75;103.5;52.8;77.63;138;70.4;103.5
6;2015-01-01;2015-12-31;69;35.2;51.75;103.5;52.8;77.63;138;70.4;103.5
7;2016-01-01;2016-12-31;70;36;52;104;53;78;139;71;104
8;2017-01-01;2017-12-31;71;37;53;105;54;79;140;72;105
9;2018-01-01;2018-12-31;72;38;54;106;54;79;141;73;106
10;2020-01-01;2020-12-31;67.54;34.44;50.66;101.31;51.66;75.98;135.08;68.88;101.31
11;2021-01-01;2021-12-31;68;34.67;51;102;52;76.5;136;69.33;102
12;2014-01-01;2014-12-31;68;34;50;102;51;76;137;69;102
13;2013-01-01;2013-03-12;10.1;"0";"0";"0";"0";"0";"0";"0";"0"
14;2022-07-01;2022-12-31;71.42;36.44;53.57;107.13;54.66;80.35;142.84;72.88;107.13
15;2025-01-01;2025-12-31;76.96;39.37;57.31;113.89;58.45;85.55;152.81;77.97;114.61
16;2019-01-01;2019-12-31;66.86;38;54;106;54;79;141;73;106
